ENSG00000076344|ENST00000168869
ENSG00000213047|ENST00000294737
ENSG00000117481|ENST00000307089
ENSG00000099338|ENST00000312265
ENSG00000070495|ENST00000303996
ENSG00000150995|ENST00000302640
ENSG00000092068|ENST00000339733
ENSG00000135317|ENST00000369635
ENSG00000177239|ENST00000371587
ENSG00000163738|ENST00000359107
ENSG00000079393|ENST00000394707
ENSG00000095787|ENST00000414108
ENSG00000166153|ENST00000378244
ENSG00000123983|ENST00000407441
ENSG00000066923|ENST00000412190
ENSG00000186577|ENST00000413013
ENSG00000046651|ENST00000398395
ENSG00000150275|ENST00000414367
ENSG00000141252|ENST00000389040
ENSG00000046651|ENST00000380567
ENSG00000093134|ENST00000425515
ENSG00000130921|ENST00000425637
ENSG00000115841|ENST00000440353
ENSG00000008311|ENST00000431170
ENSG00000138821|ENST00000424970
ENSG00000164418|ENST00000436862
ENSG00000164054|ENST00000417962
ENSG00000071462|ENST00000430270
ENSG00000164830|ENST00000435082
ENSG00000114859|ENST00000430397
ENSG00000162843|ENST00000425826
ENSG00000095787|ENST00000420266
ENSG00000026508|ENST00000425428
ENSG00000043143|ENST00000430087
ENSG00000028310|ENST00000489816
ENSG00000089472|ENST00000458621
ENSG00000147133|ENST00000461764
ENSG00000028310|ENST00000466684
ENSG00000124356|ENST00000478946
ENSG00000130066|ENST00000489394
ENSG00000088448|ENST00000465753
ENSG00000239900|ENST00000480775
ENSG00000187048|ENST00000468629
ENSG00000156313|ENST00000482855
ENSG00000000460|ENST00000466580
ENSG00000214022|ENST00000486714
ENSG00000119402|ENST00000453291
ENSG00000204852|ENST00000490514
ENSG00000007541|ENST00000443147
ENSG00000115641|ENST00000452732
ENSG00000000419|ENST00000466152
ENSG00000118473|ENST00000480548
ENSG00000129103|ENST00000447501
ENSG00000135297|ENST00000442897
ENSG00000147133|ENST00000485087
ENSG00000144591|ENST00000455657
ENSG00000163870|ENST00000483868
ENSG00000162521|ENST00000460669
ENSG00000127054|ENST00000458452
ENSG00000198860|ENST00000485209
ENSG00000135297|ENST00000445187
ENSG00000163479|ENST00000473699
ENSG00000137878|ENST00000460962
ENSG00000037749|ENST00000519928
ENSG00000145833|ENST00000507392
ENSG00000118513|ENST00000528345
ENSG00000157654|ENST00000495980
ENSG00000214787|ENST00000526153
ENSG00000204852|ENST00000547461
ENSG00000125124|ENST00000561877
ENSG00000226807|ENST00000521053
ENSG00000162129|ENST00000535477
ENSG00000177239|ENST00000545539
ENSG00000131165|ENST00000549328
ENSG00000070495|ENST00000542934
ENSG00000177595|ENST00000534649
ENSG00000064703|ENST00000533164
ENSG00000012983|ENST00000557390
ENSG00000198598|ENST00000545790
ENSG00000135297|ENST00000522205
ENSG00000110446|ENST00000536784
ENSG00000100897|ENST00000559451
ENSG00000007376|ENST00000565503
ENSG00000095539|ENST00000521006
ENSG00000051825|ENST00000539024
ENSG00000107249|ENST00000491889
ENSG00000100897|ENST00000560614
ENSG00000204427|ENST00000492084
ENSG00000119723|ENST00000555196
ENSG00000121060|ENST00000572021
ENSG00000139155|ENST00000539415
ENSG00000151849|ENST00000545981
ENSG00000124440|ENST00000526506
ENSG00000111335|ENST00000551603
ENSG00000198598|ENST00000535004
ENSG00000135297|ENST00000524046
ENSG00000167986|ENST00000535283
ENSG00000125089|ENST00000502669
ENSG00000168003|ENST00000541425
ENSG00000219200|ENST00000552321
ENSG00000186318|ENST00000514464
ENSG00000226807|ENST00000523857
ENSG00000184014|ENST00000530780
ENSG00000124440|ENST00000528563
ENSG00000131844|ENST00000512218
ENSG00000002016|ENST00000543912
ENSG00000203710|ENST00000534202
ENSG00000184009|ENST00000572105
ENSG00000100336|ENST00000493203
ENSG00000007376|ENST00000567283
ENSG00000061273|ENST00000547259
ENSG00000135317|ENST00000513869
ENSG00000135317|ENST00000514419
ENSG00000141198|ENST00000571319
ENSG00000160055|ENST00000491434
ENSG00000019582|ENST00000518797
ENSG00000159063|ENST00000526737
ENSG00000162430|ENST00000494537
ENSG00000095787|ENST00000628285
ENSG00000069869|ENST00000648451
ENSG00000284796|ENST00000642993
ENSG00000063322|ENST00000599417
ENSG00000011243|ENST00000599137
ENSG00000159753|ENST00000602368
ENSG00000077782|ENST00000619564
ENSG00000125675|ENST00000620581
ENSG00000139618|ENST00000614259
ENSG00000136531|ENST00000636135
ENSG00000137073|ENST00000629575
ENSG00000125734|ENST00000595908
ENSG00000122335|ENST00000606965
ENSG00000156313|ENST00000645124
ENSG00000283883|ENST00000639641
ENSG00000141252|ENST00000576149
ENSG00000138796|ENST00000638648
ENSG00000186577|ENST00000637920
ENSG00000133835|ENST00000645832
ENSG00000125434|ENST00000579681
ENSG00000198836|ENST00000642289
ENSG00000174943|ENST00000648037
ENSG00000104763|ENST00000636920
ENSG00000214787|ENST00000638529
ENSG00000011243|ENST00000609519
ENSG00000284796|ENST00000645275
ENSG00000105127|ENST00000599883
ENSG00000076944|ENST00000597068
ENSG00000285547|ENST00000647613
ENSG00000198836|ENST00000646699
ENSG00000026297|ENST00000611959
ENSG00000141456|ENST00000575329
ENSG00000109118|ENST00000583524
ENSG00000172270|ENST00000618112
ENSG00000253710|ENST00000650049
ENSG00000076944|ENST00000599737
ENSG00000114859|ENST00000636241
ENSG00000074660|ENST00000573852
ENSG00000162650|ENST00000604728
ENSG00000159023|ENST00000646800
ENSG00000150477|ENST00000590617
ENSG00000129255|ENST00000580834
ENSG00000007541|ENST00000636005
ENSG00000276336|ENST00000633740
ENSG00000122335|ENST00000646562
ENSG00000106633|ENST00000616242
ENSG00000183291|ENST00000648872
ENSG00000033011|ENST00000650085
ENSG00000239900|ENST00000623287
ENSG00000164953|ENST00000684023
ENSG00000100749|ENST00000681524
ENSG00000185624|ENST00000679889
ENSG00000138821|ENST00000683173
ENSG00000171960|ENST00000678193
ENSG00000185624|ENST00000679688
ENSG00000064703|ENST00000681559
ENSG00000168000|ENST00000682555
ENSG00000078124|ENST00000681251
ENSG00000159063|ENST00000679648
ENSG00000141556|ENST00000682654
ENSG00000144591|ENST00000682481
ENSG00000105875|ENST00000684322
ENSG00000075702|ENST00000681625
ENSG00000130377|ENST00000681479
ENSG00000124356|ENST00000684703
ENSG00000164418|ENST00000682222
ENSG00000125875|ENST00000680990
ENSG00000213614|ENST00000684263
ENSG00000135297|ENST00000679900
ENSG00000133835|ENST00000683936
ENSG00000204149|ENST00000680115
ENSG00000113161|ENST00000681567
ENSG00000135297|ENST00000681691
ENSG00000125124|ENST00000682658
ENSG00000185624|ENST00000680105
ENSG00000135297|ENST00000680563
ENSG00000136068|ENST00000682097
ENSG00000078124|ENST00000681257
ENSG00000166598|ENST00000681174
ENSG00000197102|ENST00000679910
ENSG00000089127|ENST00000681934
ENSG00000205085|ENST00000683523
ENSG00000198947|ENST00000679641
ENSG00000168000|ENST00000682262
ENSG00000144233|ENST00000679574
ENSG00000064703|ENST00000680936
ENSG00000117054|ENST00000680749
ENSG00000163703|ENST00000682403
ENSG00000120697|ENST00000680949
ENSG00000123983|ENST00000680736
ENSG00000213614|ENST00000682657
ENSG00000182173|ENST00000679429
ENSG00000069431|ENST00000683105
ENSG00000135297|ENST00000679675
ENSG00000023041|ENST00000684741
ENSG00000253710|ENST00000681145
ENSG00000135317|ENST00000682776
ENSG00000136699|ENST00000680810
ENSG00000135317|ENST00000682022
ENSG00000265590|ENST00000673900
ENSG00000213614|ENST00000684415
ENSG00000140650|ENST00000683435
ENSG00000100749|ENST00000680526
ENSG00000141252|ENST00000681229
ENSG00000146872|ENST00000682827
ENSG00000166598|ENST00000681698
ENSG00000135297|ENST00000681254
ENSG00000155906|ENST00000684301
ENSG00000077232|ENST00000679526
ENSG00000128487|ENST00000680124
ENSG00000135297|ENST00000679352
ENSG00000163703|ENST00000683849
ENSG00000137492|ENST00000682046
ENSG00000163703|ENST00000683603
ENSG00000177646|ENST00000679399
ENSG00000151348|ENST00000682815
ENSG00000123607|ENST00000681819
ENSG00000078124|ENST00000681955
ENSG00000140564|ENST00000680687
ENSG00000135317|ENST00000682374
ENSG00000125124|ENST00000683644
ENSG00000105835|ENST00000680675
ENSG00000122591|ENST00000679789
ENSG00000064309|ENST00000684636
ENSG00000135317|ENST00000683195
ENSG00000163703|ENST00000683127
ENSG00000072041|ENST00000679989
ENSG00000118473|ENST00000682519
ENSG00000090520|ENST00000680338
ENSG00000073060|ENST00000681686
ENSG00000033011|ENST00000683710
ENSG00000125124|ENST00000683020
ENSG00000158290|ENST00000679432
ENSG00000130640|ENST00000684421
ENSG00000141252|ENST00000680641
ENSG00000009830|ENST00000682382
ENSG00000089127|ENST00000681505
ENSG00000125124|ENST00000682493
ENSG00000182150|ENST00000683128
ENSG00000003393|ENST00000680644
ENSG00000018510|ENST00000681032
ENSG00000006071|ENST00000682204
ENSG00000144426|ENST00000683338
ENSG00000127022|ENST00000681576
ENSG00000155096|ENST00000684459
ENSG00000163703|ENST00000684318
ENSG00000102119|ENST00000684082
ENSG00000018510|ENST00000681752
ENSG00000182923|ENST00000682007
ENSG00000135317|ENST00000682995
ENSG00000168000|ENST00000684285
ENSG00000158290|ENST00000681333
ENSG00000089472|ENST00000684042
ENSG00000089472|ENST00000682927
ENSG00000105835|ENST00000681456
ENSG00000138095|ENST00000684383
ENSG00000160710|ENST00000681235
ENSG00000123607|ENST00000681502
ENSG00000213614|ENST00000682721
ENSG00000171503|ENST00000683079
ENSG00000135317|ENST00000683542
ENSG00000105875|ENST00000684339
ENSG00000135317|ENST00000683458
ENSG00000117054|ENST00000680613
ENSG00000132549|ENST00000683334
ENSG00000184014|ENST00000680470
ENSG00000138821|ENST00000684386
ENSG00000154743|ENST00000679693
ENSG00000050767|ENST00000680889
ENSG00000196305|ENST00000683192
ENSG00000124356|ENST00000683582
ENSG00000138821|ENST00000682243
ENSG00000172543|ENST00000681512
ENSG00000171503|ENST00000682345
ENSG00000197467|ENST00000673914
ENSG00000008311|ENST00000681314
ENSG00000069431|ENST00000682879
ENSG00000003393|ENST00000681250
ENSG00000136068|ENST00000684607
ENSG00000159063|ENST00000680797
ENSG00000185624|ENST00000680846
ENSG00000127022|ENST00000679471
ENSG00000168014|ENST00000680839
ENSG00000163703|ENST00000683316
ENSG00000100139|ENST00000680375
ENSG00000081248|ENST00000681078
ENSG00000100023|ENST00000680962
ENSG00000135297|ENST00000680609
ENSG00000184014|ENST00000681158
ENSG00000008311|ENST00000681318
ENSG00000131844|ENST00000682541
ENSG00000132932|ENST00000683303
ENSG00000135317|ENST00000682455
ENSG00000011243|ENST00000681459
ENSG00000138138|ENST00000681308
ENSG00000138095|ENST00000683994
ENSG00000196305|ENST00000683817
ENSG00000095787|ENST00000679570
ENSG00000091483|ENST00000682162
ENSG00000100532|ENST00000679557
ENSG00000135541|ENST00000679711
ENSG00000135317|ENST00000683073
ENSG00000135297|ENST00000681579
ENSG00000100749|ENST00000680922
ENSG00000046651|ENST00000682953
ENSG00000116127|ENST00000683791
ENSG00000138138|ENST00000680388
ENSG00000175595|ENST00000683962
ENSG00000198912|ENST00000679946
ENSG00000011243|ENST00000681170
ENSG00000011243|ENST00000680303
ENSG00000145604|ENST00000676559
ENSG00000197102|ENST00000680313
ENSG00000138821|ENST00000683634
ENSG00000117054|ENST00000679704
ENSG00000135297|ENST00000680794
ENSG00000168003|ENST00000680002
ENSG00000182173|ENST00000681282
ENSG00000156983|ENST00000684608
ENSG00000118217|ENST00000681169
ENSG00000125124|ENST00000683212
ENSG00000006071|ENST00000683725
ENSG00000147852|ENST00000681806
ENSG00000117054|ENST00000680798
ENSG00000213614|ENST00000683463
ENSG00000168003|ENST00000679908
ENSG00000197102|ENST00000680423
ENSG00000135541|ENST00000680965
ENSG00000106462|ENST00000684300
ENSG00000147852|ENST00000680891
ENSG00000105835|ENST00000680708
ENSG00000106462|ENST00000683292
ENSG00000118473|ENST00000682419
ENSG00000188906|ENST00000679532
ENSG00000185885|ENST00000679765
ENSG00000184014|ENST00000680554
ENSG00000117054|ENST00000681063
ENSG00000117054|ENST00000680743
ENSG00000079215|ENST00000680655
ENSG00000105835|ENST00000681391
ENSG00000170185|ENST00000683224
ENSG00000154743|ENST00000680264
ENSG00000137073|ENST00000683717
ENSG00000135931|ENST00000684051
ENSG00000197102|ENST00000681066
ENSG00000124523|ENST00000680442
ENSG00000105835|ENST00000681223
ENSG00000143502|ENST00000679807
ENSG00000067842|ENST00000683064
ENSG00000081248|ENST00000680059
ENSG00000124523|ENST00000679922
ENSG00000163703|ENST00000682200
ENSG00000155816|ENST00000681741
ENSG00000050767|ENST00000680268
ENSG00000134769|ENST00000679372
ENSG00000166598|ENST00000681941
ENSG00000072110|ENST00000683267
ENSG00000130640|ENST00000683786
ENSG00000122591|ENST00000681402
ENSG00000145604|ENST00000677984
ENSG00000127022|ENST00000681398
ENSG00000135297|ENST00000681610
ENSG00000003393|ENST00000681716
ENSG00000157601|ENST00000681944
ENSG00000123983|ENST00000681906
ENSG00000082898|ENST00000680228
ENSG00000135297|ENST00000679808
ENSG00000171503|ENST00000683478
ENSG00000239900|ENST00000679609
ENSG00000144233|ENST00000679797
ENSG00000100023|ENST00000681394
ENSG00000160710|ENST00000679375
ENSG00000172269|ENST00000684142
ENSG00000133835|ENST00000682626
ENSG00000003393|ENST00000680569
ENSG00000137509|ENST00000681322
ENSG00000046651|ENST00000683655
ENSG00000204852|ENST00000680068
ENSG00000197102|ENST00000680120
ENSG00000118473|ENST00000683067
ENSG00000116337|ENST00000681132
ENSG00000137628|ENST00000680917
ENSG00000124356|ENST00000684697
ENSG00000124356|ENST00000683718
ENSG00000197102|ENST00000684561
ENSG00000135744|ENST00000681772
ENSG00000185624|ENST00000680259
ENSG00000089472|ENST00000684625
ENSG00000275700|ENST00000680330
ENSG00000135317|ENST00000682057
ENSG00000115170|ENST00000683404
ENSG00000118473|ENST00000682150
ENSG00000213614|ENST00000682177
